epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,7435.53,1.63661,1.29159,1.01894,0.38729,0.27955,0.2675,0.15049,1.47318,1.13912,0.96746,0.0073765,0.0073765,0.0073765
55,7575.21,1.63792,1.28632,1.01786,0.3891,0.28294,0.26835,0.15089,1.47319,1.13813,0.96623,0.007327,0.007327,0.007327
56,7721.29,1.6351,1.28999,1.01836,0.3875,0.28597,0.27131,0.15284,1.46898,1.13359,0.96566,0.0072775,0.0072775,0.0072775
57,7860.25,1.63136,1.2807,1.01537,0.39009,0.28901,0.27295,0.15319,1.4731,1.13158,0.96639,0.007228,0.007228,0.007228
58,7999.44,1.63059,1.2782,1.01483,0.38706,0.28917,0.27258,0.15386,1.46705,1.13113,0.96442,0.0071785,0.0071785,0.0071785
59,8138.61,1.6299,1.27305,1.01233,0.38424,0.28595,0.27217,0.1538,1.46325,1.12877,0.96358,0.007129,0.007129,0.007129
60,8280.13,1.6347,1.27718,1.0118,0.38778,0.28966,0.27486,0.1548,1.46183,1.12719,0.96353,0.0070795,0.0070795,0.0070795
61,8418.93,1.62846,1.27807,1.01365,0.40534,0.28663,0.27399,0.15427,1.46351,1.12529,0.96338,0.00703,0.00703,0.00703
62,8549.25,1.61799,1.26182,1.01254,0.39945,0.29,0.27548,0.15508,1.46375,1.12375,0.96242,0.0069805,0.0069805,0.0069805
63,8705.35,1.61359,1.2608,1.00989,0.38972,0.29214,0.27773,0.15658,1.45841,1.11899,0.96199,0.006931,0.006931,0.006931
64,8856.7,1.61611,1.26358,1.01282,0.38558,0.29799,0.27894,0.15702,1.45669,1.11239,0.96238,0.0068815,0.0068815,0.0068815
65,9003.45,1.61408,1.26221,1.01077,0.3901,0.29153,0.27727,0.15651,1.45776,1.11418,0.96157,0.006832,0.006832,0.006832
66,9149.96,1.61718,1.26428,1.01133,0.40213,0.29016,0.27986,0.15842,1.45257,1.11256,0.96086,0.0067825,0.0067825,0.0067825
67,9293.8,1.62083,1.2647,1.01253,0.39401,0.29576,0.28043,0.15858,1.45214,1.11031,0.96011,0.006733,0.006733,0.006733
68,9438.29,1.61506,1.26013,1.01372,0.39801,0.29539,0.28111,0.15905,1.44745,1.10774,0.95851,0.0066835,0.0066835,0.0066835
69,9577.4,1.61487,1.25309,1.00564,0.40621,0.29813,0.28266,0.15998,1.44828,1.10561,0.95844,0.006634,0.006634,0.006634
