epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,14632.8,1.57395,1.21374,0.99564,0.41832,0.30532,0.2968,0.16971,1.417,1.07048,0.94957,0.004753,0.004753,0.004753
108,14751.1,1.56699,1.21402,0.99845,0.41773,0.30757,0.29684,0.16965,1.41642,1.07001,0.94962,0.0047035,0.0047035,0.0047035
109,14869.2,1.56422,1.20489,0.99459,0.41681,0.30705,0.2973,0.16977,1.41585,1.06916,0.94937,0.004654,0.004654,0.004654
110,14988.9,1.56566,1.20974,0.99376,0.41191,0.3084,0.29799,0.17024,1.4144,1.0676,0.94911,0.0046045,0.0046045,0.0046045
111,15109.1,1.56897,1.20827,0.99595,0.41534,0.30688,0.29826,0.17015,1.41324,1.06678,0.94871,0.004555,0.004555,0.004555
112,15227,1.56306,1.20065,0.99371,0.41456,0.31042,0.29879,0.17077,1.41252,1.06578,0.94857,0.0045055,0.0045055,0.0045055
113,15347,1.55569,1.19984,0.99145,0.4196,0.31126,0.29926,0.171,1.41174,1.06481,0.94816,0.004456,0.004456,0.004456
114,15464.2,1.56118,1.20255,0.99407,0.41128,0.31199,0.29988,0.17132,1.41177,1.06393,0.94822,0.0044065,0.0044065,0.0044065
115,15583.6,1.56506,1.20093,0.99114,0.40971,0.31397,0.30071,0.17162,1.41118,1.06314,0.94786,0.004357,0.004357,0.004357
116,15699.3,1.56425,1.20167,0.99297,0.41377,0.31347,0.30069,0.17176,1.41095,1.06269,0.94761,0.0043075,0.0043075,0.0043075
117,15815.4,1.55517,1.18815,0.992,0.41361,0.31379,0.30224,0.17249,1.41047,1.062,0.94752,0.004258,0.004258,0.004258
118,15931,1.56408,1.19839,0.99388,0.41595,0.31371,0.30264,0.17286,1.41015,1.06117,0.94742,0.0042085,0.0042085,0.0042085
119,16046.2,1.55899,1.19461,0.99217,0.41765,0.31348,0.30283,0.17303,1.41004,1.06037,0.94734,0.004159,0.004159,0.004159
120,16163.1,1.55587,1.18874,0.98816,0.41915,0.31436,0.30376,0.17345,1.40919,1.05864,0.94703,0.0041095,0.0041095,0.0041095
121,16283.1,1.55233,1.18682,0.98955,0.41728,0.31475,0.30404,0.17396,1.40832,1.05806,0.94676,0.00406,0.00406,0.00406
122,16400.7,1.55449,1.18353,0.98879,0.4173,0.31491,0.30417,0.17404,1.40765,1.05688,0.94651,0.0040105,0.0040105,0.0040105
123,16519,1.56003,1.19266,0.98879,0.41566,0.31556,0.30448,0.17406,1.40658,1.05631,0.9461,0.003961,0.003961,0.003961
124,16637.3,1.54997,1.18769,0.99144,0.41313,0.31562,0.30481,0.17424,1.40594,1.05637,0.94588,0.0039115,0.0039115,0.0039115
125,16755.3,1.54848,1.18005,0.98752,0.41462,0.31518,0.30475,0.1744,1.40518,1.05581,0.94557,0.003862,0.003862,0.003862
126,16873.2,1.55682,1.18826,0.99083,0.4134,0.31672,0.30508,0.17452,1.40484,1.05564,0.94543,0.0038125,0.0038125,0.0038125
127,16991.6,1.55286,1.18688,0.98877,0.41904,0.31419,0.30501,0.17462,1.40387,1.05531,0.94517,0.003763,0.003763,0.003763
128,17109,1.55201,1.18382,0.99115,0.41824,0.31567,0.30534,0.17459,1.40363,1.05452,0.94506,0.0037135,0.0037135,0.0037135
